id,make,model,year,colour,fuel,vin
750,Mitsubishi,Galant,2003,Indigo,diesel,JN1CV6FE2DM813264
751,Cadillac,DeVille,2003,Red,petrol,WA1GFCFS0FR168808
752,Ford,Expedition,2003,Crimson,diesel,3D4PH5FV3AT923703
753,Audi,A8,2005,Orange,diesel,3N6CM0KN1DK128995
754,Honda,S2000,2009,Fuscia,petrol,WBAAN37411N855842
755,Lotus,Exige,2004,Maroon,diesel,1GYFK23289R397229
756,Chevrolet,Express 3500,1997,Goldenrod,diesel,1FTWW3B59AE434048
757,Lotus,Elise,2008,Mauv,petrol,WAUFFAFL3EN028415
758,Kia,Rio,2011,Khaki,diesel,WAU3VAFR1CA479440
759,Ford,Explorer,1999,Purple,diesel,2HNYD28668H267169
760,Subaru,Legacy,1996,Fuscia,diesel,3C3CFFAR6FT601960
761,Mercedes-Benz,G-Class,2008,Crimson,petrol,JN8AZ1MU3CW466508
762,BMW,7 Series,2011,Fuscia,petrol,WBABD33494J172702
763,Subaru,Baja,2005,Maroon,diesel,WDCYC3HF5EX241131
764,Chevrolet,Camaro,1992,Puce,petrol,2G4WC582781884437
765,Buick,Reatta,1989,Red,diesel,JTEBC3EH9C2896903
766,Hyundai,Scoupe,1993,Maroon,petrol,1GD020CGXCF228474
767,Ford,Focus,2011,Puce,diesel,3VWPG3AG6AM639843
768,Chevrolet,Cobalt,2009,Maroon,diesel,4T1BD1FK4EU774209
769,Ford,Contour,2000,Green,petrol,2C4JDGAG3CR802730
770,Nissan,Rogue,2010,Pink,diesel,4T1BF1FK0CU411946
771,Dodge,Dakota,1999,Puce,petrol,SALAB2D41DA517114
772,Chrysler,Crossfire,2004,Khaki,diesel,WBADS33471G207261
773,Suzuki,Grand Vitara,2001,Pink,petrol,JTEBU5JR1A5017400
774,BMW,3 Series,2004,Aquamarine,petrol,WAUNF98P97A723938
775,Chevrolet,Corvette,1973,Maroon,petrol,WAUGFAFR3AA305011
776,Buick,Century,2004,Violet,petrol,4T1BF1FK7FU972522
777,Lincoln,MKX,2008,Orange,diesel,JN8AE2KP8D9021700
778,Infiniti,G37,2011,Yellow,diesel,WUARL48H07K865309
779,Jeep,Grand Cherokee,1993,Mauv,petrol,1G6DX67D070235004
780,Mitsubishi,Pajero,1995,Blue,petrol,WBY2Z2C51FV377433
781,Kia,Optima,2011,Puce,petrol,2HNYD28857H998935
782,Subaru,Legacy,1996,Violet,petrol,WBSDX9C58CE967903
783,Ford,EXP,1985,Puce,diesel,WAUDV94F17N294573
784,Mitsubishi,Montero Sport,2002,Fuscia,petrol,WBA3A9C51DF017105
785,Mazda,RX-8,2007,Green,diesel,JTDKTUD37ED755710
786,Volkswagen,New Beetle,2006,Mauv,diesel,1FTEW1CF4FK074154
787,GMC,Yukon,2001,Mauv,diesel,WAUBH78E66A952804
788,Buick,Electra,1984,Crimson,diesel,5N1AR1NB1AC589162
789,BMW,760,2005,Orange,petrol,JTDJTUD32DD844451
790,Mercedes-Benz,M-Class,2006,Puce,diesel,SCFBB03C49G703972
791,Oldsmobile,Toronado,1966,Purple,diesel,1FTSW3B51AE078192
792,Land Rover,Sterling,1991,Khaki,diesel,JHMFB4F25CS819338
793,Honda,Pilot,2004,Puce,diesel,WAUDGBFL5BA529710
794,Mazda,B-Series Plus,1999,Teal,petrol,5UXXW3C53F0829206
795,Hyundai,Accent,2011,Maroon,diesel,WAUEFAFL9DA773560
796,Mitsubishi,Galant,1989,Purple,petrol,WP1AA2AP2AL100850
797,Nissan,Armada,2010,Aquamarine,diesel,WAUKH78E38A085753
798,Mercedes-Benz,R-Class,2009,Aquamarine,petrol,ZHWGU5BR3EL255119
799,Land Rover,Range Rover Evoque,2012,Pink,petrol,3GYEK63N53G767783
800,Lamborghini,Gallardo,2010,Puce,petrol,1G6DM5E3XD0079997
801,Maybach,57,2012,Fuscia,petrol,WAUGL58E75A117611
802,Ford,Galaxie,1966,Turquoise,diesel,19UUA75538A461521
803,Honda,Civic,1993,Fuscia,petrol,KMHHT6KD0EU584411
804,Toyota,Sienna,2011,Khaki,diesel,19XFB4F3XEE073811
805,Kia,Mohave/Borrego,2009,Puce,diesel,JTDKN3DU8A0086247
806,Mitsubishi,Outlander,2009,Violet,petrol,JH4CU26629C076984
807,Chevrolet,Aveo,2005,Orange,diesel,KL4CJDSB9DB064252
808,Chevrolet,Prizm,2002,Indigo,diesel,5J8TB2H56CA262480
809,Lincoln,Continental,1984,Turquoise,petrol,5GAKRBED2CJ300578
810,Infiniti,Q,2001,Yellow,petrol,JTEBW3EH5A2362351
811,BMW,600,1958,Green,diesel,1GYS3FEJ8CR959595
812,Ford,Econoline E150,1992,Red,petrol,JN1BJ0HP5EM489490
813,Mitsubishi,Truck,1994,Green,petrol,5GADT13S042381727
814,Ford,Excursion,2001,Pink,diesel,KMHTC6AD1CU320946
815,Mazda,626,1990,Puce,diesel,SCBBR9ZA0BC549989
816,Mazda,MPV,1995,Aquamarine,petrol,1LNHL9DR4CG716673
817,Oldsmobile,Bravada,2002,Goldenrod,diesel,VNKJTUD30FA297708
818,Chevrolet,Tracker,1999,Indigo,diesel,SCFBF04B07G294442
819,GMC,1500 Club Coupe,1996,Blue,petrol,JH4DC538X3S568268
820,Honda,Fit,2008,Indigo,petrol,WAUKF98E85A185022
821,Audi,A6,1995,Puce,diesel,WBAYA8C54FG759043
822,Cadillac,Escalade,2008,Pink,diesel,1N6AA0CH4EN093020
823,Suzuki,Aerio,2005,Orange,petrol,4T1BD1FK1EU989109
824,Toyota,Sienna,1999,Khaki,petrol,WAUWFAFR4CA426385
825,Isuzu,i-Series,2008,Puce,diesel,1FTEX1CM7BK958157
826,Audi,A8,2000,Puce,diesel,2C3CDYCJXEH454509
827,Austin,Mini Cooper,1964,Pink,petrol,WBADT53452C947702
828,Cadillac,Seville,1995,Purple,petrol,WVGAV3AX9DW893478
829,Land Rover,Range Rover,1993,Indigo,diesel,WAUDH98E38A405349
830,Volkswagen,Fox,1991,Purple,diesel,5N1AL0MM9FC020212
831,Ford,F150,2002,Teal,petrol,1GYS3DEF6CR560913
832,Mercedes-Benz,300SE,1993,Crimson,petrol,2C3CDZAT6FH414293
833,Pontiac,Grand Prix,1972,Orange,diesel,WAUXL68E14A656892
834,Audi,A6,2005,Aquamarine,diesel,4T1BF1FK1EU282375
835,Acura,CL,2003,Teal,petrol,WDCYC3HF5AX450668
836,Cadillac,Eldorado,1993,Violet,petrol,1FTSX2A5XAE920259
837,Chevrolet,Prizm,2000,Yellow,diesel,2G4WD582691004620
838,Nissan,Armada,2010,Aquamarine,petrol,3GYFK66N25G131759
839,Mercury,Villager,1993,Khaki,petrol,WAU4GAFB6AN919465
840,Lexus,GX,2012,Crimson,diesel,SCFAB01A06G358545
841,Chevrolet,Equinox,2008,Crimson,diesel,1HGCP2F34CA981763
842,BMW,745,2003,Yellow,diesel,5GAEV23778J311542
843,Pontiac,Bonneville,1986,Mauv,petrol,2C4JRGAG6ER903412
844,Isuzu,i-350,2006,Teal,diesel,5UXFE8C58AL094659
845,Chevrolet,Astro,2005,Yellow,petrol,WAUAG78E86A542827
846,Mazda,MX-5,1997,Purple,diesel,WBAPK7G51BN164203
847,GMC,Canyon,2011,Violet,diesel,YV4902DZ6B2612302
848,Pontiac,Vibe,2008,Khaki,petrol,1D7CE2GK0AS109541
849,Toyota,Solara,2005,Purple,petrol,WAUJFAFH9CN780168
850,Porsche,924,1988,Orange,petrol,WAUGL78E25A093049
851,Ford,F-Series Super Duty,2009,Fuscia,petrol,WA1CKBFP1AA123495
852,Ford,Explorer,2007,Orange,diesel,JTDKN3DP6E3644840
853,Ford,Taurus X,2008,Teal,diesel,SCBLF34F06C132780
854,Chevrolet,Silverado 1500,2011,Fuscia,petrol,SCBBR9ZA7DC252706
855,Ford,Crown Victoria,2009,Mauv,petrol,2T1BU4EEXDC125477
856,Mercury,Mountaineer,2003,Red,diesel,5UMBT93587L967584
857,Chevrolet,Express 3500,2001,Fuscia,petrol,JHMZF1C47BS379904
858,Chrysler,300,2011,Green,diesel,SCBZK22E71C237089
859,Nissan,350Z,2005,Aquamarine,diesel,3VW517AT2EM298976
860,Buick,Somerset,1986,Aquamarine,diesel,YV1672MK9B2136562
861,Pontiac,Grand Prix,1979,Teal,diesel,JTJBC1BA4E2885999
862,Ford,Probe,1994,Violet,diesel,JM3KE2BE7E0966021
863,Pontiac,Bonneville,1990,Blue,petrol,WDDNG7BB5AA586804
864,Chevrolet,Corvette,1969,Puce,diesel,1C4PJLAB6FW667884
865,Mitsubishi,Montero,2000,Yellow,diesel,1G6AZ5SXXF0954672
866,Volkswagen,Touareg,2010,Red,petrol,1D7RW2BK9AS888386
867,Toyota,Xtra,1992,Purple,petrol,WAUSH98E06A809696
868,Mercedes-Benz,S-Class,1991,Fuscia,diesel,WBSPM93539E035493
869,Chevrolet,Lumina,1999,Teal,diesel,5N1AT2MK4EC490138
870,Rolls-Royce,Phantom,2006,Pink,diesel,1G6DG1E35E0131618
871,BMW,5 Series,1997,Blue,diesel,WBABN53433J233016
872,Pontiac,Firebird Formula,1992,Turquoise,petrol,WAUEF78E98A645665
873,Lexus,SC,1998,Khaki,petrol,WAUMFAFL4DA153114
874,Toyota,Land Cruiser,2007,Fuscia,diesel,1VWAH7A38EC423958
875,Nissan,NV1500,2012,Maroon,diesel,2T1BU4EE4DC594659
876,Lincoln,MKZ,2012,Fuscia,petrol,4F2CY0C73AK019954
877,Ford,Ranger,2009,Red,diesel,TRUWT28N341282914
878,GMC,Sierra,2009,Teal,diesel,SALME1D40AA533377
879,Infiniti,G,1993,Mauv,diesel,1G6DC1E31C0157769
880,Infiniti,EX,2011,Teal,petrol,3C63DRHL9CG973549
881,Honda,Prelude,1997,Indigo,petrol,JHMFA3F29AS038154
882,Chevrolet,Express 2500,2009,Green,diesel,WAUFEAFM2CA462888
883,Toyota,Camry,1993,Khaki,diesel,1FTSX2B58AE215166
884,Hyundai,Santa Fe,2010,Maroon,diesel,5TFBY5F16AX014024
885,Porsche,911,1994,Teal,diesel,WBAEK13426C327198
886,Dodge,Caravan,1998,Purple,diesel,WAUPFAFMXBA041601
887,Ford,Probe,1990,Orange,petrol,WBAKG1C51CJ663509
888,Mazda,Navajo,1993,Indigo,diesel,WBA1K5C50FV927897
889,Ford,GT,2005,Turquoise,diesel,1D4RE3GGXBC334411
890,Buick,Park Avenue,2002,Red,diesel,WAUVC58E63A717749
891,Nissan,300ZX,1996,Goldenrod,petrol,JTEBU5JRXF5182031
892,Chevrolet,Equinox,2012,Aquamarine,petrol,WBABN334X2P863003
893,Chevrolet,Silverado 3500,2011,Red,diesel,WBADW3C53DE421693
894,Mazda,626,2002,Mauv,diesel,WAUSF98K49N908711
895,Volkswagen,Jetta,1984,Orange,petrol,5UXFG8C57BL787332
896,Chrysler,300,2010,Fuscia,diesel,5N1CR2MM4EC677212
897,Honda,Insight,2004,Purple,petrol,WBAEW534X4P394486
898,Ford,Escort,1997,Fuscia,diesel,SCBGH3ZA7FC786863
899,Subaru,Forester,2004,Maroon,petrol,1G6DW677560743819
900,Kia,Forte,2011,Khaki,petrol,WBAPK73579A247593
901,Ford,F350,2009,Red,diesel,JTHBK1GG7E2098739
902,Mercedes-Benz,G-Class,2002,Turquoise,diesel,1G6AJ5S36D0294325
903,Mazda,Mazda5,2006,Red,diesel,WAUSH78E38A771131
904,Mitsubishi,Montero,1993,Red,diesel,WAUAH78E56A723994
905,GMC,Savana 3500,2012,Blue,petrol,KMHTC6AD7FU622147
906,Oldsmobile,88,1997,Puce,petrol,WAUHE78P89A667739
907,Audi,A6,1998,Mauv,petrol,2B3CK5CTXAH097359
908,Lincoln,LS,2006,Blue,diesel,1FMCU9C79AK978414
909,Toyota,Land Cruiser,1994,Khaki,petrol,2T3BFREV8FW941152
910,Buick,LeSabre,1998,Yellow,petrol,WA1VGBFP5EA099945
911,Lexus,ES,2006,Teal,diesel,1GYFK56279R845683
912,Honda,Passport,2001,Purple,petrol,SCFAD06D19G570324
913,Subaru,Outback,2011,Mauv,petrol,JM1BL1K55B1888286
914,Toyota,Highlander,2012,Red,petrol,1G6DK8EV4A0182174
915,Chevrolet,S10,1994,Aquamarine,petrol,SCBBR53W16C884956
916,Chevrolet,Blazer,1999,Puce,petrol,JTHFE2C24C2822084
917,Nissan,Maxima,2012,Puce,diesel,5FNRL5H28CB056355
918,BMW,M3,1999,Orange,diesel,WBA3N3C55EF575378
919,Jaguar,XK Series,1997,Khaki,petrol,1FTNF2B52AE806836
920,Suzuki,Grand Vitara,2005,Mauv,diesel,5UXFG83518L361161
921,Ford,F150,2004,Crimson,diesel,SCFFBCCD4BG482472
922,Pontiac,G6,2005,Turquoise,diesel,WA1YD54B25N440466
923,Mercedes-Benz,S-Class,2010,Crimson,petrol,KMHFC4DD6BA358430
924,Ford,F-Series,1989,Fuscia,diesel,WAU2GBFC8DN514783
925,Dodge,Magnum,2006,Green,petrol,WAUGL58E95A822278
926,Land Rover,Discovery,1995,Indigo,diesel,SAJWA6E76E8732787
927,Saab,9-5,2002,Green,diesel,WA1FFCFSXFR534205
928,Mercedes-Benz,E-Class,2008,Khaki,diesel,JN1BY1AP6EM003538
929,GMC,Safari,2004,Maroon,petrol,WBAEN33492E746912
930,Mitsubishi,Mirage,1996,Puce,petrol,WBAEH73415C675963
931,Mercedes-Benz,E-Class,1999,Mauv,petrol,2C3CDXJG7DH974215
932,Mercury,Villager,1998,Red,diesel,1G6DL8EG5A0930543
933,Chrysler,300M,2001,Orange,petrol,1D7RW2GK6BS617697
934,Subaru,XT,1986,Teal,diesel,WAULC68E64A193730
935,Ford,E250,2010,Puce,diesel,19VDE1F50DE900625
936,BMW,Z4,2010,Khaki,diesel,KMHTC6AD6EU322680
937,Cadillac,STS,2008,Goldenrod,diesel,WBAGN83504D196555
938,Suzuki,XL7,2009,Crimson,diesel,1C3CCBCG4EN414597
939,Jeep,Cherokee,1995,Violet,petrol,JA32U1FU7AU551712
940,Dodge,D150 Club,1993,Yellow,diesel,1N4AB7AP7EN086314
941,Plymouth,Voyager,1995,Pink,diesel,WBALL5C51CJ866665
942,Buick,Skylark,1992,Indigo,diesel,WA1C8BFP5FA185911
943,Pontiac,Bonneville,1994,Orange,petrol,WP0AB2A8XCS647576
944,BMW,M Roadster,2006,Maroon,petrol,1FTKR1AD7AP211286
945,Jaguar,S-Type,2003,Indigo,diesel,WA1LGAFE1CD712476
946,Mercedes-Benz,E-Class,1989,Blue,petrol,JTHBL5EF0F1503586
947,Hyundai,Tiburon,2001,Blue,petrol,4T1BK1EB6FU235700
948,Volkswagen,CC,2009,Khaki,petrol,JM3TB2CA4F0202945
949,Land Rover,Discovery,2000,Goldenrod,diesel,WAUBH74F38N948073
950,Mazda,B-Series Plus,1998,Violet,petrol,WAUDG78E46A445671
951,Lexus,LX,2004,Turquoise,diesel,JN1CV6EK0AM525052
952,Bentley,Brooklands,2009,Teal,petrol,1G4HP54K22U509859
953,Chevrolet,Express 1500,1998,Crimson,diesel,WAUNF78P78A349397
954,Infiniti,QX,1998,Aquamarine,petrol,1B3CB9HA4AD009630
955,Kia,Amanti,2007,Khaki,diesel,3GYFNCE3XDS732645
956,Infiniti,QX,2004,Aquamarine,diesel,WBA3A5G54CN140517
957,Lincoln,Town Car,1994,Puce,petrol,2T1BURHE5FC193259
958,Audi,A4,2008,Red,petrol,WAUHF98P79A336904
959,Suzuki,Grand Vitara,2004,Goldenrod,diesel,WVGAV7AX6FW283208
960,Lexus,LX,2000,Teal,petrol,WAUKFBFL4CN089421
961,Volvo,S60,2002,Turquoise,petrol,1C4RDJDG0CC739591
962,Volvo,S80,2000,Red,diesel,1FTWX3A55AE971921
963,Audi,RS 4,2007,Green,petrol,WBAVD13536K476258
964,Pontiac,Grand Prix,1968,Turquoise,petrol,JM3TB2MA7A0076183
965,Audi,100,1994,Blue,petrol,WBACK73481L303426
966,Scion,tC,2010,Pink,petrol,1FTEX1CM6BK717948
967,Dodge,Stratus,2005,Puce,petrol,WBALX3C58CD334272
968,Lotus,Esprit,1995,Violet,diesel,2G61M5S39F9916464
969,Pontiac,Bonneville,1965,Indigo,diesel,1GT3CZBG9AF702948
970,Mercury,Villager,1998,Maroon,diesel,1GYS4GKJXFR261050
971,Dodge,Intrepid,1997,Blue,diesel,3D73Y4EL3AG850238
972,Infiniti,Q,1998,Violet,diesel,NM0KS9BN5CT644870
973,Mercedes-Benz,SL-Class,1998,Orange,diesel,WBAPH7C58BE789007
974,Buick,Park Avenue,2000,Purple,petrol,3VWAL7AJ6AM437363
975,Volkswagen,Passat,1985,Orange,petrol,WA1LGAFE9BD036485
976,BMW,X5,2012,Aquamarine,petrol,5BZAF0AA0EN172680
977,Ford,Econoline E150,1994,Aquamarine,petrol,WA1LFAFPXCA035790
978,Land Rover,Range Rover,2011,Khaki,diesel,1G4HP54K444472753
979,Honda,Civic,2006,Turquoise,diesel,5GALRCEDXAJ178897
980,Nissan,Cube,2010,Khaki,petrol,WBADS33422G335649
981,Chevrolet,Monte Carlo,2007,Pink,petrol,WDDUG7JB4EA617902
982,Chevrolet,2500,1996,Yellow,petrol,3C4PDCEG2ET304189
983,Pontiac,Montana SV6,2006,Purple,diesel,3D4PG3FG3BT294339
984,Lincoln,Continental,1991,Turquoise,petrol,WAUKH98EX7A591090
985,Jeep,Liberty,2007,Red,petrol,1G6DG8EY8B0336995
986,Pontiac,Turbo Firefly,1988,Maroon,petrol,WAUAC48HX4K195612
987,BMW,550,2006,Turquoise,petrol,YV1612FH1D2352640
988,Hyundai,Accent,2006,Teal,diesel,WAUDF58E55A776927
989,Ferrari,California,2010,Yellow,diesel,WBAFA53541L068102
990,Mitsubishi,Galant,2004,Pink,diesel,WAUVT68E74A358273
991,GMC,Sonoma,1996,Turquoise,diesel,KNAFX5A81F5151154
992,Honda,Civic,2005,Green,petrol,JN1CV6EK7BM499213
993,Dodge,Spirit,1995,Fuscia,diesel,5UXFG43529L583721
994,Saab,900,1992,Fuscia,diesel,2G4GL5EX7E9010235
995,Audi,A8,2002,Yellow,petrol,1G6DK8E37D0646674
996,Kia,Sephia,1997,Fuscia,diesel,JHMZE2H77ES804554
997,Ford,F150,2009,Purple,diesel,WP1AE2A23DL710270
998,Pontiac,Sunbird,1994,Violet,petrol,5UMDU93517L636416
999,Nissan,Sentra,2004,Crimson,diesel,JN1AZ4EH1FM970914
1000,Infiniti,G37,2010,Turquoise,diesel,KNDJN2A29F7115911
